
# OLD MTL			NEW MTL					NEW PROC				ROOM ID		POP MULT	FLAGS
#																			

P_DUMP				dirt_dry				EXT_JUNKYARD_RUBBISH			0		7		0
GRAVEL				gravel					EXT_WEEDS_ROCKS				0		7		0
SAND_DEEP			sand					-					0		7		0
SAND_MEDIUM			sand					-					0		7		0
SAND_ARID			sand					-					0		7		0
SAND_BEACH			sand					-					0		7		0
P_SAND_ARID			sand					-					0		7		0
P_SAND_ROCKY			sand					-					0		7		0
P_SANDBEACH			sand					-					0		7		0
SAND_COMPACT			sand					##					0		7		0
P_SAND_DENSE			sand					##					0		7		0
P_SAND_COMPACT			sand					##					0		7		0
WATER_RIVERBED			water					-					0		7		0
WATER_SHALLOW			water					-					0		7		0
P_UNDERWATERLUSH		water					-					0		7		0
P_UNDERWATERBARREN		water					-					0		7		0
P_UNDERWATERDEEP		water					-					0		7		0
SNOW				snow					-					0		7		0
GRASS_SHORT_LUSH		grass_short				## EXT_GRASS_LUSHPLANTS_SHORT		0		7		0
GRASS_SHORT_DRY			grass_short				## EXT_GRASS_DRYPLANTS_STONES		0		7		0
GOLFGRASS_ROUGH			grass_short				-					0		7		0
GOLFGRASS_SMOOTH		grass_short				-					0		7		0
STEEP_SLIDYGRASS		grass_short				-					0		7		0
P_GRASS_SHORT			grass_short				##					0		7		0
P_GRASSWEEFLOWERS		grass_short				##					0		7		0
P_GRASSSMALLTREES		grass_short				##					0		7		0
P_GRASSWEEDS			grass_short				-					0		7		0
P_GRASSLIGHT			grass_short				##					0		7		0
P_GRASSLIGHTER			grass_short				##					0		7		0
P_GRASSLIGHTER2			grass_short				##					0		7		0
P_GRASSMID1			grass_short				##					0		7		0
P_GRASSMID2			grass_short				##					0		7		0
P_GRASSDARK			grass_short				##					0		7		0
P_GRASSDARK2			grass_short				##					0		7		0
P_SEAWEED			grass_short				-					0		7		0
P_GRASSLOW			grass_short				##					0		7		0
PARKGRASS			grass_short				##					0		7		0
GRASS_MEDIUM_LUSH		grass_long				##					0		7		0
GRASS_MEDIUM_DRY		grass_long				## EXT_GRASS_DRYPLANTS_MED		0		7		0
GRASS_LONG_LUSH			grass_long				EXT_GRASS_LUSHPLANTS_LONG		0		7		0
GRASS_LONG_DRY			grass_long				EXT_GRASS_DRYPLANTS_LONG		0		7		0
P_GRASS_MEADOW			grass_long				## EXT_MEADOW_PLANTS			0		7		0
P_GRASSDRYTALL			grass_long				##					0		7		0	
P_GRASSLUSHTALL			grass_long				##					0		7		0
P_GRASSDIRTMIX			grass_patchy				##					0		7		0
P_GRASS_DRY			grass_patchy				## EXT_GRASS_DRYPLANTS_SHORT		0		7		0
P_GRASSGRNMIX			grass_patchy				##					0		7		0
P_GRASSBRNMIX			grass_patchy				##					0		7		0
P_GRASSROCKY			grass_patchy				##					0		7		0
MEADOW				grass_long				-					0		7		0
FLOWERBED			mud_soft				-					0		7		0
P_FLOWERBED			mud_soft				EXT_FLOWERBED_PLANTS			0		7		0
P_SPARSEFLOWERS			mud_soft				EXT_FLOWERS_PLANTS_SPARSE		0		7		0
WOODLANDGROUND			grass_short				##					0		7		0
P_WOODLAND			grass_short				## EXT_WOODLAND_PLANTS			0		7		0
P_WOODDENSE			grass_short				##					0		7		0	
P_FORESTSTUMPS			dirt_dry				##					0		7		0
P_FORESTSTICKS			dirt_dry				-					0		7		0
VEGETATION			bushes					-					0		7		0
P_BUSHY				bushes					EXT_BUSHES_LUSH				0		7		0
P_BUSHYMIX			bushes					EXT_BUSHES_MIXED			0		7		0
P_BUSHYDRY			bushes					## EXT_BUSHES_DRY			0		7		0
P_BUSHYMID			bushes					-					0		7		0		
HEDGE				bushes					-					0		7		0
P_FORRESTLEAVES			leaves_pile				-					0		7		0
P_INDUSTJETTY			wood					-					0		7		0
FLOORBOARD			wood					-					0		7		0
STAIRSWOOD			wood					-					0		7		0
WOOD_PICKET_FENCE		wood					-					0		7		0
WOOD_SLATTED_FENCE		wood					-					0		7		0
WOOD_RANCH_FENCE		wood					-					0		7		0
WOOD_CRATES			wood					-					0		7		0
WOOD_SOLID			wood					-					0		7		0
WOOD_THIN			wood					-					0		7		0
WOOD_BENCH			wood					-					0		7		0
CAR				car_metal				-					0		7		0
CAR_PANEL			car_metal				-					0		7		0
CAR_MOVINGCOMPONENT		car_metal				-					0		7		0
CAR_VOID			car_void				-					0		7		0
THICK_METAL_PLATE		metal					-					0		7		0
GIRDER				metal					-					0		7		0
THIN_METAL_SHEET		metal					-					0		7		0
GARAGE_DOOR			metal					-					0		7		0
LAMP_POST			metal					-					0		7		0
METAL_GATE			metal					-					0		7		0
FIRE_HYDRANT			metal					-					0		7		0
CONTAINER			metal					-					0		7		0
NEWS_VENDOR			metal					-					0		7		0
METAL_BARREL			metal					-					0		7		0
METAL_DUMPSTER			metal					-					0		7		0
FLOORMETAL			metal					-					0		7		0
RAILTRACK			metal					-					0		7		0
WALL_POST			metal					-					0		7		0
SCAFFOLD_POLE			metal					-					0		7		0
METAL_CHAIN_FENCE		metal					-					0		7		0
STAIRSMETAL			metal					-					0		7		0
GLASS				glass_weak				-					0		7		0
GLASS_WEAK			glass_weak				-					0		7		0
GLASS_MEDIUM			glass_medium				-					0		7		0
GLASS_STRONG			glass_strong				-					0		7		0
GLASS_WINDSCREEN		windscreen				-					0		7		0
BIN_BAG				plastic					-					0		7		0
UNBREAKABLE_GLASS		plastic					-					0		7		0
PLASTIC				plastic					-					0		7		0
PLASTICBARRIER			plastic					-					0		7		0
PLASTIC_CONE			plastic					-					0		7		0
PLASTIC_DUMPSTER		plastic					-					0		7		0
RUBBER				rubber					-					0		7		0
WHEELBASE			rubber					-					0		7		0
CARDBOARDBOX			cardboard				-					0		7		0
STAIRSCARPET			carpet_fabric				-					0		7		0
TRANSPARENT_CLOTH		carpet_fabric				-					0		7		0
P_CONCRETELITTER		concrete				-					0		7		0
P_ALLEYRUBISH			concrete				EXT_ALLEYWAY_LITTER			0		7		0
P_JUNKYARDPILES			dirt_dry				-					0		7		0
PED				ped					-					0		7		0
GORE				ped					-					0		7		0
FLESH				ped					-					0		7		0
NOFRICTION			default					-					0		7		0
BUTTOCKS			buttocks				-					0		7		0
THIGH_LEFT			thigh_left				-					0		7		0
SHIN_LEFT			shin_left				-					0		7		0
FOOT_LEFT			foot_left				-					0		7		0
THIGH_RIGHT			thigh_right				-					0		7		0
SHIN_RIGHT			shin_right				-					0		7		0
FOOT_RIGHT			foot_right				-					0		7		0
SPINE0				spine0					-					0		7		0
SPINE1				spine1					-					0		7		0
SPINE2				spine2					-					0		7		0
SPINE3				spine3					-					0		7		0
NECK				neck					-					0		7		0
HEAD				head					-					0		7		0
CLAVICLE_LEFT			clavicle_left				-					0		7		0
UPPER_ARM_LEFT			upper_arm_left				-					0		7		0
LOWER_ARM_LEFT			lower_arm_left				-					0		7		0
HAND_LEFT			hand_left				-					0		7		0
CLAVICLE_RIGHT			clavicle_right				-					0		7		0
UPPER_ARM_RIGHT			upper_arm_right				-					0		7		0
LOWER_ARM_RIGHT			lower_arm_right				-					0		7		0
HAND_RIGHT			hand_right				-					0		7		0
P_711SHELF1			wood					GRP_SHELF_DAIRY				0		7		0
P_711SHELF2			wood					GRP_SHELF_JUICE_CANS			0		7		0
P_711SHELF3			wood					GRP_SHELF_JUICE_BOTTLES			0		7		0
P_711SHELF4			wood					GRP_SHELF_TINNED_MIXED			0		7		0
P_711SHELF5			wood					GRP_SHELF_HEALTH			0		7		0
P_711SHELF6			wood					GRP_SHELF_TOILETRIES			0		7		0
P_711SHELF7			wood					GRP_SHELF_MEAT				0		7		0
P_711SHELF8			wood					GRP_SHELF_TINNED_PETFOOD		0		7		0
P_711SHELF9			wood					GRP_SHELF_TINNED_SOUPS			0		7		0
P_711SHELF10			wood					GRP_SHELF_DAIRY_BIG			0		7		0
P_711SHELF11			wood					GRP_SHELF_BOXES				0		7		0
P_711SHELF12			wood					GRP_SHELF_CLEANING			0		7		0
P_711SHELF13			wood					GRP_SHELF_BOOZE_CANS			0		7		0
P_711SHELF14			wood					GRP_SHELF_BOOZE_BIG			0		7		0
P_711SHELF15			wood					GRP_SHELF_DRIED_FOOD			0		7		0
P_711SHELF16			wood					-					0		7		0
P_711SHELF17			wood					GRP_SHELF_BOXES_SMALL			0		7		0
P_711SHELF18			wood					GRP_SHELF_FREEZER_A			0		7		0
P_711SHELF19			wood					GRP_SHELF_FREEZER_B			0		7		0
P_711SHELF20			wood					-					0		7		0
P_711SHELF21			wood					-					0		7		0
P_711SHELF22			wood					-					0		7		0
P_711SHELF23			wood					-					0		7		0
P_711SHELF24			wood					-					0		7		0
P_711SHELF25			wood					-					0		7		0
P_711SHELF26			wood					-					0		7		0
P_711SHELF27			wood					-					0		7		0
P_711SHELF28			wood					-					0		7		0
P_711SHELF29			wood					-					0		7		0
P_711SHELF30			wood					-					0		7		0	
P_OFFICEDESK			wood					-					0		7		0
P_RESTUARANTTABLE		wood					-					0		7		0
P_BARTABLE			wood					-					0		7		0
DOOR				wood					-					0		7		0
P_BEDROOMFLOOR			carpet_fabric				-					0		7		0
P_KIRCHENFLOOR			laminate				-					0		7		0
P_LIVINGRMFLOOR			carpet_fabric				-					0		7		0
P_CORRIDORFLOOR			laminate				-					0		7		0
P_711FLOOR			linoleum				INT_711_LITTER				0		7		0
P_FASTFOODFLOOR			linoleum				INT_FASTFOOD_LITTER			0		7		0
P_SKANKYFLOOR			carpet_fabric				INT_SKANKY_LITTER			0		7		0
P_SKANK_BEDROOM			carpet_fabric				-					0		7		0
P_SKANK_BATHROOM		linoleum				-					0		7		0
P_SKANK_KITCHEN			laminate				-					0		7		0
P_SKANK_LIVING			carpet_fabric				-					0		7		0
P_SKANK_LOBBY			marble					-					0		7		0
P_LAUNDRY			linoleum				INT_LAUNDRY_CLOTHING			0		7		0
P_LAUNDRY2			linoleum				INT_LAUNDRY_SOCKS			0		7		0
P_POOLSIDE			concrete				-					0		7		0
CARPET				carpet_fabric				-					0		7		0
grass_patchy			grass					-
grass_long			grass					-
				
				
				
				
				
				
				
				
				
