#######################################
# statdisp.dat                        #
# selects when to show messages based #
# on stat values in the game          #
#######################################

# note - numbers on left hand (stat_num) must align up with numbers in STAT_VAR_CONSOLE_REF.TXT in "sa_docs" dir in AB

# stat_num  - unique stat id
# stat_name - name of stat (for reference)
# condition - this can be lessthan/morethan
# value     - value stat must reach to display message
# text_id   - text id from american.gxt text file to display

# stat text names - S - stat 
#						W - Weapon (PI - pistol, ) (ST - Standard, PR - Pro)
#						ST - Stamina (0 to 9 -level)
#						SK	- Skill	(0 to 9 -level) 
#						BO -  BODY 
###################################################################################

#stat_num	stat_name						condition	value	text_id
#========   =========      	 				=========   =====   =======


60		RESPECT_TOTAL						morethan	540		SRES4
60		RESPECT_TOTAL						morethan	800		SRES5
60		RESPECT_TOTAL						lessthan	10		SRESN0
60		RESPECT_TOTAL						lessthan	60		SRESN1
60		RESPECT_TOTAL						lessthan	160		SRESN2
60		RESPECT_TOTAL						lessthan	330		SRESN3
60		RESPECT_TOTAL						lessthan	540		SRESN4
60		RESPECT_TOTAL						lessthan	800		SRESN5


65      WEAPONTYPE_PISTOL_SKILL				morethan	40		SWPIST
65      WEAPONTYPE_PISTOL_SKILL				morethan	200		SWPI_R
65      WEAPONTYPE_PISTOL_SKILL				morethan	400		SWPI_R
65      WEAPONTYPE_PISTOL_SKILL				morethan	600		SWPI_R
65      WEAPONTYPE_PISTOL_SKILL				morethan	800		SWPI_R
65      WEAPONTYPE_PISTOL_SKILL				morethan	999		SWPIPR

66      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	200		SWSP_T
66      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	400		SWSP_T
66      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	500		SWSPST
66      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	600		SWSP_R
66      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	800		SWSP_R
66      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	999		SWSPPR

67		WEAPONTYPE_DESERT_EAGLE_SKILL		morethan   	200		SWDEST
67      WEAPONTYPE_DESERT_EAGLE_SKILL		morethan	400		SWDE_R
67      WEAPONTYPE_DESERT_EAGLE_SKILL		morethan	600		SWDE_R
67      WEAPONTYPE_DESERT_EAGLE_SKILL		morethan	800		SWDE_R
67		WEAPONTYPE_DESERT_EAGLE_SKILL		morethan   	999		SWDEPR

68		WEAPONTYPE_SHOTGUN_SKILL			morethan   	200		SWSGST
68      WEAPONTYPE_SHOTGUN_SKILL			morethan	400		SWSG_R
68      WEAPONTYPE_SHOTGUN_SKILL			morethan	600		SWSG_R
68      WEAPONTYPE_SHOTGUN_SKILL			morethan	800		SWSG_R
68		WEAPONTYPE_SHOTGUN_SKILL			morethan   	999		SWSGPR

69		WEAPONTYPE_SAWNOFF_SHOTGUN_SKILL	morethan   	200		SWSSST
69      WEAPONTYPE_SAWNOFF_SHOTGUN_SKILL	morethan	400		SWSS_R
69      WEAPONTYPE_SAWNOFF_SHOTGUN_SKILL	morethan	600		SWSS_R
69      WEAPONTYPE_SAWNOFF_SHOTGUN_SKILL	morethan	800		SWSS_R
69		WEAPONTYPE_SAWNOFF_SHOTGUN_SKILL	morethan   	999		SWSSPR

70		WEAPONTYPE_SPAS12_SHOTGUN_SKILL		morethan   	200		SWSZST
70      WEAPONTYPE_SPAS12_SHOTGUN_SKILL		morethan	400		SWSZ_R
70      WEAPONTYPE_SPAS12_SHOTGUN_SKILL		morethan	600		SWSZ_R
70      WEAPONTYPE_SPAS12_SHOTGUN_SKILL		morethan	800		SWSZ_R
70		WEAPONTYPE_SPAS12_SHOTGUN_SKILL		morethan   	999		SWSZPR

71		WEAPONTYPE_MICRO_UZI_SKILL			morethan 	50		SWMUST 
71		WEAPONTYPE_MICRO_UZI_SKILL			morethan   	200		SWMU_R
71      WEAPONTYPE_MICRO_UZI_SKILL			morethan	400		SWMU_R
71      WEAPONTYPE_MICRO_UZI_SKILL			morethan	600		SWMU_R
71      WEAPONTYPE_MICRO_UZI_SKILL			morethan	800		SWMU_R
71		WEAPONTYPE_MICRO_UZI_SKILL			morethan 	999		SWMUPR

72		WEAPONTYPE_MP5_SKILL				morethan 	250		SWM5ST
72      WEAPONTYPE_MP5_SKILL				morethan	400		SWM5_R
72      WEAPONTYPE_MP5_SKILL				morethan	600		SWM5_R
72      WEAPONTYPE_MP5_SKILL				morethan	800		SWM5_R
72		WEAPONTYPE_MP5_SKILL				morethan 	999		SWM5PR

73		WEAPONTYPE_AK47_SKILL				morethan  	200		SWAKST
73      WEAPONTYPE_AK47_SKILL				morethan	400		SWAK_R
73      WEAPONTYPE_AK47_SKILL				morethan	600		SWAK_R
73      WEAPONTYPE_AK47_SKILL				morethan	800		SWAK_R
73		WEAPONTYPE_AK47_SKILL				morethan 	999		SWAKPR

74		WEAPONTYPE_M4_SKILL					morethan  	200		SWM4ST
74      WEAPONTYPE_M4_SKILL					morethan	400		SWM4_R
74      WEAPONTYPE_M4_SKILL					morethan	600		SWM4_R
74      WEAPONTYPE_M4_SKILL					morethan	800		SWM4_R
74		WEAPONTYPE_M4_SKILL					morethan 	999		SWM4PR

75		WEAPONTYPE_SNIPERRIFLE_SKILL		morethan   	200		SWSR_T
75		WEAPONTYPE_SNIPERRIFLE_SKILL		morethan 	300		SWSRST
75      WEAPONTYPE_SNIPERRIFLE_SKILL		morethan	400		SWSR_R
75      WEAPONTYPE_SNIPERRIFLE_SKILL		morethan	600		SWSR_R
75      WEAPONTYPE_SNIPERRIFLE_SKILL		morethan	800		SWSR_R
75		WEAPONTYPE_SNIPERRIFLE_SKILL		morethan	999	   	SWSRPR


77		GAMBLING							morethan	1		SGPUNT
77		GAMBLING							morethan	10		SGGAMB
77		GAMBLING							morethan	100		SGPROF
77		GAMBLING							morethan	999		SGHIRO

587		HEALTH	 		  					morethan	20		SHESPT0
587		HEALTH	 		  					morethan	200		SHESPT0
587		HEALTH	 							morethan	400		SHESPT0
587		HEALTH	 							morethan	600		SHESPT0
587		HEALTH	 							morethan	800		SHESPT0
587		HEALTH	 							morethan	999		SHESPT1


###################################################################################

# -eof-
